GSS_CD,date,GSS_NM,TotalCases,day,area_type,CTY19CD,CTY19NM,LAD19CD,LAD19NM,velocity,acceleration
E06000007,2020-03-20,Warrington,4,80,LAD,,,E06000007,Warrington,0.0,0.0
E06000007,2020-03-21,Warrington,4,81,LAD,,,E06000007,Warrington,0.0,0.0
E06000007,2020-03-22,Warrington,4,82,LAD,,,E06000007,Warrington,0.0,0.0
E06000007,2020-03-23,Warrington,7,83,LAD,,,E06000007,Warrington,3.0,3.0
E06000007,2020-03-24,Warrington,8,84,LAD,,,E06000007,Warrington,1.0,-2.0
E06000007,2020-03-25,Warrington,9,85,LAD,,,E06000007,Warrington,1.0,0.0
E06000007,2020-03-26,Warrington,10,86,LAD,,,E06000007,Warrington,1.0,0.0
E06000007,2020-03-27,Warrington,15,87,LAD,,,E06000007,Warrington,5.0,4.0
E06000007,2020-03-28,Warrington,19,88,LAD,,,E06000007,Warrington,4.0,-1.0
E06000007,2020-03-29,Warrington,21,89,LAD,,,E06000007,Warrington,2.0,-2.0
E06000008,2020-03-18,Blackburn with Darwen,1,78,LAD,,,E06000008,Blackburn with Darwen,,
E06000008,2020-03-19,Blackburn with Darwen,1,79,LAD,,,E06000008,Blackburn with Darwen,0.0,
E06000008,2020-03-20,Blackburn with Darwen,1,80,LAD,,,E06000008,Blackburn with Darwen,0.0,0.0
E06000008,2020-03-21,Blackburn with Darwen,1,81,LAD,,,E06000008,Blackburn with Darwen,0.0,0.0
E06000008,2020-03-22,Blackburn with Darwen,1,82,LAD,,,E06000008,Blackburn with Darwen,0.0,0.0
E06000008,2020-03-23,Blackburn with Darwen,1,83,LAD,,,E06000008,Blackburn with Darwen,0.0,0.0
E06000008,2020-03-24,Blackburn with Darwen,2,84,LAD,,,E06000008,Blackburn with Darwen,1.0,1.0
E06000008,2020-03-25,Blackburn with Darwen,3,85,LAD,,,E06000008,Blackburn with Darwen,1.0,0.0
E06000008,2020-03-26,Blackburn with Darwen,6,86,LAD,,,E06000008,Blackburn with Darwen,3.0,2.0
E06000008,2020-03-27,Blackburn with Darwen,7,87,LAD,,,E06000008,Blackburn with Darwen,1.0,-2.0
E06000008,2020-03-28,Blackburn with Darwen,10,88,LAD,,,E06000008,Blackburn with Darwen,3.0,2.0
E06000008,2020-03-29,Blackburn with Darwen,12,89,LAD,,,E06000008,Blackburn with Darwen,2.0,-1.0
E06000009,2020-03-18,Blackpool,4,78,LAD,,,E06000009,Blackpool,,
E06000009,2020-03-19,Blackpool,3,79,LAD,,,E06000009,Blackpool,-1.0,
E06000009,2020-03-20,Blackpool,5,80,LAD,,,E06000009,Blackpool,2.0,3.0
E06000009,2020-03-21,Blackpool,5,81,LAD,,,E06000009,Blackpool,0.0,-2.0
E06000009,2020-03-22,Blackpool,6,82,LAD,,,E06000009,Blackpool,1.0,1.0
E06000009,2020-03-23,Blackpool,6,83,LAD,,,E06000009,Blackpool,0.0,-1.0
E06000009,2020-03-24,Blackpool,8,84,LAD,,,E06000009,Blackpool,2.0,2.0
E06000009,2020-03-25,Blackpool,8,85,LAD,,,E06000009,Blackpool,0.0,-2.0
E06000009,2020-03-26,Blackpool,8,86,LAD,,,E06000009,Blackpool,0.0,0.0
E06000009,2020-03-27,Blackpool,9,87,LAD,,,E06000009,Blackpool,1.0,1.0
E06000009,2020-03-28,Blackpool,10,88,LAD,,,E06000009,Blackpool,1.0,0.0
E06000009,2020-03-29,Blackpool,10,89,LAD,,,E06000009,Blackpool,0.0,-1.0
E06000010,2020-03-18,"Kingston upon Hull, City of",1,78,LAD,,,E06000010,"Kingston upon Hull, City of",,
E06000010,2020-03-19,"Kingston upon Hull, City of",1,79,LAD,,,E06000010,"Kingston upon Hull, City of",0.0,
E06000010,2020-03-20,"Kingston upon Hull, City of",1,80,LAD,,,E06000010,"Kingston upon Hull, City of",0.0,0.0
E06000010,2020-03-21,"Kingston upon Hull, City of",1,81,LAD,,,E06000010,"Kingston upon Hull, City of",0.0,0.0
E06000010,2020-03-22,"Kingston upon Hull, City of",1,82,LAD,,,E06000010,"Kingston upon Hull, City of",0.0,0.0
E06000010,2020-03-23,"Kingston upon Hull, City of",1,83,LAD,,,E06000010,"Kingston upon Hull, City of",0.0,0.0
E06000010,2020-03-24,"Kingston upon Hull, City of",1,84,LAD,,,E06000010,"Kingston upon Hull, City of",0.0,0.0
E06000010,2020-03-25,"Kingston upon Hull, City of",2,85,LAD,,,E06000010,"Kingston upon Hull, City of",1.0,1.0
E06000010,2020-03-26,"Kingston upon Hull, City of",4,86,LAD,,,E06000010,"Kingston upon Hull, City of",2.0,1.0
E06000010,2020-03-27,"Kingston upon Hull, City of",5,87,LAD,,,E06000010,"Kingston upon Hull, City of",1.0,-1.0
E06000010,2020-03-28,"Kingston upon Hull, City of",5,88,LAD,,,E06000010,"Kingston upon Hull, City of",0.0,-1.0
E06000010,2020-03-29,"Kingston upon Hull, City of",9,89,LAD,,,E06000010,"Kingston upon Hull, City of",4.0,4.0
E06000011,2020-03-18,East Riding of Yorkshire,10,78,LAD,,,E06000011,East Riding of Yorkshire,,
E06000011,2020-03-19,East Riding of Yorkshire,10,79,LAD,,,E06000011,East Riding of Yorkshire,0.0,
E06000011,2020-03-20,East Riding of Yorkshire,15,80,LAD,,,E06000011,East Riding of Yorkshire,5.0,5.0
E06000011,2020-03-21,East Riding of Yorkshire,15,81,LAD,,,E06000011,East Riding of Yorkshire,0.0,-5.0
E06000011,2020-03-22,East Riding of Yorkshire,15,82,LAD,,,E06000011,East Riding of Yorkshire,0.0,0.0
E06000011,2020-03-23,East Riding of Yorkshire,16,83,LAD,,,E06000011,East Riding of Yorkshire,1.0,1.0
E06000011,2020-03-24,East Riding of Yorkshire,16,84,LAD,,,E06000011,East Riding of Yorkshire,0.0,-1.0
E06000011,2020-03-25,East Riding of Yorkshire,19,85,LAD,,,E06000011,East Riding of Yorkshire,3.0,3.0
E06000011,2020-03-26,East Riding of Yorkshire,21,86,LAD,,,E06000011,East Riding of Yorkshire,2.0,-1.0
E06000011,2020-03-27,East Riding of Yorkshire,23,87,LAD,,,E06000011,East Riding of Yorkshire,2.0,0.0
E06000011,2020-03-28,East Riding of Yorkshire,26,88,LAD,,,E06000011,East Riding of Yorkshire,3.0,1.0
E06000011,2020-03-29,East Riding of Yorkshire,31,89,LAD,,,E06000011,East Riding of Yorkshire,5.0,2.0
E06000012,2020-03-18,North East Lincolnshire,0,78,LAD,,,E06000012,North East Lincolnshire,,
E06000012,2020-03-19,North East Lincolnshire,0,79,LAD,,,E06000012,North East Lincolnshire,0.0,
E06000012,2020-03-20,North East Lincolnshire,0,80,LAD,,,E06000012,North East Lincolnshire,0.0,0.0
E06000012,2020-03-21,North East Lincolnshire,0,81,LAD,,,E06000012,North East Lincolnshire,0.0,0.0
E06000012,2020-03-22,North East Lincolnshire,1,82,LAD,,,E06000012,North East Lincolnshire,1.0,1.0
E06000012,2020-03-23,North East Lincolnshire,1,83,LAD,,,E06000012,North East Lincolnshire,0.0,-1.0
E06000012,2020-03-24,North East Lincolnshire,3,84,LAD,,,E06000012,North East Lincolnshire,2.0,2.0
E06000012,2020-03-25,North East Lincolnshire,3,85,LAD,,,E06000012,North East Lincolnshire,0.0,-2.0
E06000012,2020-03-26,North East Lincolnshire,5,86,LAD,,,E06000012,North East Lincolnshire,2.0,2.0
E06000012,2020-03-27,North East Lincolnshire,5,87,LAD,,,E06000012,North East Lincolnshire,0.0,-2.0
E06000012,2020-03-28,North East Lincolnshire,8,88,LAD,,,E06000012,North East Lincolnshire,3.0,3.0
E06000012,2020-03-29,North East Lincolnshire,16,89,LAD,,,E06000012,North East Lincolnshire,8.0,5.0
E06000013,2020-03-18,North Lincolnshire,1,78,LAD,,,E06000013,North Lincolnshire,,
E06000013,2020-03-19,North Lincolnshire,1,79,LAD,,,E06000013,North Lincolnshire,0.0,
E06000013,2020-03-20,North Lincolnshire,1,80,LAD,,,E06000013,North Lincolnshire,0.0,0.0
E06000013,2020-03-21,North Lincolnshire,2,81,LAD,,,E06000013,North Lincolnshire,1.0,1.0
E06000013,2020-03-22,North Lincolnshire,2,82,LAD,,,E06000013,North Lincolnshire,0.0,-1.0
E06000013,2020-03-23,North Lincolnshire,3,83,LAD,,,E06000013,North Lincolnshire,1.0,1.0
E06000013,2020-03-24,North Lincolnshire,5,84,LAD,,,E06000013,North Lincolnshire,2.0,1.0
E06000013,2020-03-25,North Lincolnshire,5,85,LAD,,,E06000013,North Lincolnshire,0.0,-2.0
E06000013,2020-03-26,North Lincolnshire,6,86,LAD,,,E06000013,North Lincolnshire,1.0,1.0
E06000013,2020-03-27,North Lincolnshire,6,87,LAD,,,E06000013,North Lincolnshire,0.0,-1.0
E06000013,2020-03-28,North Lincolnshire,7,88,LAD,,,E06000013,North Lincolnshire,1.0,1.0
